Ticker,Date,Surprise,Year,Month,Day,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,CIK
PPG,20161020,-143.9490446,2016,9,20,PPG Industries,Materials,Specialty Chemicals,Pittsburgh; Pennsylvania,79879
PPL,20161101,11.29032258,2016,10,1,PPL Corp.,Utilities,Electric Utilities,Allentown; Pennsylvania,922224
PRGO,20161110,-993.877551,2016,10,10,Perrigo,Health Care,Pharmaceuticals,Dublin; Ireland,1585364
PRU,20161102,60.55226824,2016,10,2,Prudential Financial,Financials,Life & Health Insurance,Newark; New Jersey,1137774
PSA,20161026,7.228915663,2016,9,26,Public Storage,Real Estate,Specialized REITs,Glendale; California,1393311
PSX,20161028,-4.38247012,2016,9,28,Phillips 66,Energy,Oil & Gas Refining & Marketing,Houston; Texas,1534701
PVH,20151202,42.78074866,2015,11,2,PVH Corp.,Consumer Discretionary,Apparel; Accessories & Luxury Goods,New York; New York,78239
PWR,20161103,63.19444444,2016,10,3,Quanta Services Inc.,Industrials,Construction & Engineering,Houston; Texas,1050915
PX,20161027,-17.01828411,2016,9,27,Praxair Inc.,Materials,Industrial Gases,Danbury; Connecticut,884905
PXD,20161101,766.6666667,2016,10,1,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,Irving; Texas,1038357
PYPL,20161020,-19.40298507,2016,9,20,PayPal,Information Technology,Data Processing & Outsourced Services,San Jose; California,1633917
QCOM,20160720,3.854389722,2016,6,20,QUALCOMM Inc.,Information Technology,Semiconductors,San Diego; California,804328
QRVO,20160204,-117.8173719,2016,1,4,Qorvo,Information Technology,Semiconductors,Greensboro; North Carolina,1604778
R,20161025,34.29054054,2016,9,25,Ryder System,Industrials,Trucking,Miami; Florida,85961
RAI,20161019,2.915951973,2016,9,19,Reynolds American Inc.,Consumer Staples,Tobacco,Winston-Salem; North Carolina,1275283
RCL,20161028,386.3636364,2016,9,28,Royal Caribbean Cruises Ltd,Consumer Discretionary,Hotels; Resorts & Cruise Lines,Miami; Florida,884887
REG,20161101,-87.65432099,2016,10,1,Regency Centers Corporation,Real Estate,Retail REITs,Jacksonville; Florida,910606
REGN,20161104,-2.78372591,2016,10,4,Regeneron,Health Care,Biotechnology,Tarrytown; New York,872589
